v.x v.y v.z nx ny nz tx ty tz u v
-1.5240000486373901 -1.5240000486373901 0.38100001215934753 -1.0 0.0 0.0 0.0 0.0676274225115776 0.997710645198822 0.0898076519370079 0.3957630395889282
-1.5240000486373901 1.5240000486373901 -0.38100001215934753 -1.0 0.0 0.0 0.0 0.0676276907324791 0.9977105259895325 2.0210684681387647e-08 0.7021928429603577
-1.5240000486373901 -1.5240000486373901 -0.38100001215934753 -1.0 0.0 0.0 0.0 0.06762736290693283 0.997710645198822 1.516121561628836e-09 0.4008691608905792
-1.5240000486373901 1.5240000486373901 0.38100001215934753 0.0 1.0 0.0 0.06762731820344925 0.0 0.997710645198822 0.179615318775177 0.3957630395889282
1.5240000486373901 1.5240000486373901 -0.38100001215934753 0.0 1.0 0.0 0.06762704998254776 0.0 0.997710645198822 0.08980768918991089 0.7021927833557129
-1.5240000486373901 1.5240000486373901 -0.38100001215934753 0.0 1.0 0.0 0.06762738525867462 0.0 0.997710645198822 0.0898076668381691 0.4008691608905792
1.5240000486373901 1.5240000486373901 0.38100001215934753 1.0 0.0 0.0 0.0 -0.07794056087732315 0.9969580173492432 0.9102374911308289 4.31243769583034e-08
1.5240000486373901 -1.5240000486373901 -0.38100001215934753 1.0 0.0 0.0 0.0 -0.0779406949877739 0.9969580173492432 0.820475161075592 0.29959389567375183
1.5240000486373901 1.5240000486373901 -0.38100001215934753 1.0 0.0 0.0 0.0 -0.07794052362442017 0.9969579577445984 0.820475161075592 0.005743233487010002
1.5240000486373901 -1.5240000486373901 0.38100001215934753 0.0 -1.0 0.0 -0.07794052362442017 0.0 0.9969580173492432 1.0 4.718076240806113e-08
-1.5240000486373901 -1.5240000486373901 -0.38100001215934753 0.0 -1.0 0.0 -0.07794047892093658 0.0 0.9969580173492432 0.9102376103401184 0.29959389567375183
1.5240000486373901 -1.5240000486373901 -0.38100001215934753 0.0 -1.0 0.0 -0.07794053107500076 0.0 0.9969579577445984 0.9102376103401184 0.005743237212300301
1.5240000486373901 1.5240000486373901 -0.38100001215934753 0.0 0.0 -1.0 0.0 1.0 0.0 0.5728302001953125 0.7314393520355225
-1.5240000486373901 -1.5240000486373901 -0.38100001215934753 0.0 0.0 -1.0 0.0 1.0 0.0 0.2101392149925232 0.39563748240470886
-1.5240000486373901 1.5240000486373901 -0.38100001215934753 0.0 0.0 -1.0 0.0 1.0 0.0 0.5728301405906677 0.39563748240470886
